organism,gene,uniprot_id
Klebsiella pneumoniae,KPC-2,Q9F663
Klebsiella pneumoniae,bla,P0AD64
Klebsiella pneumoniae,bla,Q9AHN9
Klebsiella pneumoniae,blaNDM-1,C7C422
Aeromonas hydrophila,cphA,P26918
Bacillus cereus,Metallo-beta-la,P14488
Stenotrophomonas maltophilia,Metallo-beta-la,P52700
Pseudomonas aeruginosa,bla-imp13,Q7WYA8
Bacillus cereus,blm,P04190
Serratia marcescens,Metallo-beta-la,P52699
Elizabethkingia meningoseptica,blaB1,O08498
Bacteroides fragilis,ccrA,P25910
Escherichia coli,VIM-2,Q5U7L7
Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),VIM-1,A0A0F7KYQ8
Pseudomonas aeruginosa,VIM-7,Q840P9
Chryseobacterium indologenes,IND-1,Q9X482
Bacillus sp. (strain 170),Metallo-beta-la,P10425
Homo sapiens,MBLAC2,Q68D91
Acinetobacter baumannii,OXA-58,Q2TR58
Acinetobacter baumannii,OXA-23,Q9L4P2
Elizabethkingia meningoseptica,blaB4,Q9XBN7
Elizabethkingia meningoseptica,blaB3,Q9K303
Elizabethkingia meningoseptica,blaB6,Q9KJB0
Enterococcus faecalis (strain ATCC 700802 / V583),vanB,Q06893
Staphylococcus aureus (strain N315),mecA,P60185
Staphylococcus aureus (strain MW2),mecA,P60186
Staphylococcus aureus (strain Mu50 / ATCC 700699),mecA,P60184
Staphylococcus aureus,pbp,P07944
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),eis,P9WFK7
Pseudomonas aeruginosa,aacC3,P29808
Salmonella enteritidis,Aminoglycoside,Q9R381
Enterococcus faecalis (strain ATCC 700802 / V583),aacA-aphD,P0A0C2
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),aac,P9WQG9
Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),eis,P9WFK6
Acinetobacter haemolyticus,Aminoglycoside,Q44057
Serratia marcescens,Aminoglycoside,Q54441
Stenotrophomonas maltophilia,Aminoglycoside,Q9RBW7
Acinetobacter genomosp. 13,Aminoglycoside,Q44245
Acinetobacter baumannii,Aminoglycoside,Q43899
Klebsiella aerogenes,aacA7,P50858
Morganella morganii,aacA7,Q15BH7
Serratia marcescens,aacA4,P20092
Citrobacter koseri,aacA1,P10051
Niallia circulans,aphA4,P00553
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Putative,P9WI99
Escherichia coli,aphA1,P00551
Klebsiella pneumoniae,neo,P00552
Mammaliicoccus sciuri,aacA-aphD,Q7ATH9
Staphylococcus warneri,aacA-aphD,Q7ATH7
Streptomyces ribosidificus,rph,P13250
Enterococcus faecium,aacA-aphD,Q52S23
Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A),aacA-aphD,Q5HMP3
Staphylococcus aureus (strain Mu50 / ATCC 700699),aacA-aphD,P0A0C0
Staphylococcus haemolyticus (strain JCSC1435),aacA-aphD,Q4L605
Staphylococcus aureus,aacA-aphD,P0A0C1
Streptomyces griseus,aphD,P08077
Staphylococcus aureus,aphA,P0A3Y6
Klebsiella pneumoniae,aadB,P0AE05
Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),aadA,Q8ZPX9
Bacillus sp,knt,P05058
Staphylococcus aureus,knt,P05057
Escherichia coli,aadA,P0AG05
Bacillus subtilis (strain 168),aadK,P17585
Escherichia coli,aadB,P0AE04
Agrobacterium tumefaciens,Aminoglycoside,P14511
Klebsiella pneumoniae,aadB,P29806
Campylobacter jejuni,aadK,P0DTV9
Shigella flexneri,aadA,P0AG06
Klebsiella pneumoniae,aadA,P08881
Staphylococcus aureus,str,P12055
Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),mexB,P52002
Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),mexA,P52477
Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),oprM,Q51487
Escherichia coli (strain K12),acrA,P0AE06
Escherichia coli (strain K12),acrB,P31224
Escherichia coli (strain K12),tolC,P02930
Escherichia coli (strain K12),acrZ,P0AAW9
Escherichia coli O157:H7,acrA,P0AE07
Escherichia coli (strain K12),acrE,P24180
Escherichia coli (strain K12),acrF,P24181
Escherichia coli,bla,Q8KSA6
Citrobacter amalonaticus,bla,Q9RMT4
Escherichia coli,bla,A0A649V088
Escherichia coli,bla,P28585
Escherichia coli O25b:H4,bla,A0A5R8T042
Escherichia coli,bla,Q47066
Escherichia coli,sul1,P0C002
Escherichia coli,Insertion,P0CF06
Streptomyces clavuligerus,Beta-lactamase,P35804
Klebsiella pneumoniae,Beta-lactamase,P05192
Enterobacter cloacae,ampC,P05364
Klebsiella aerogenes,blaCMY-10,Q99QC1
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),katG,P9WIE5
Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),katG,P9WIE4
Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),katG,P46817
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),inhA,P9WGR1
